Ghana,4/12/2020,0.63125,0.64205,0.61709,0.61638,0.57804,0.5927,0.58541,0.59142,0.56359,0.58361,0.56818,0.55492,0.54525,0.55481,0.55452,0.53769,0.52996,0.53111,0.53235,0.53217,0.54092,0.55755,0.57436,0.59199,0.61666,0.65117,0.67292,0.70545,0.7334,0.76556
Greece,3/21/2020,0.62372,0.60966,0.60322,0.59283,0.59226,0.59395,0.60252,0.61413,0.63251,0.65261,0.67478,0.65562,0.73235,0.74929,0.76607,0.78588,0.80169,0.80488,0.82687,0.83376,0.84062,0.85017,0.85209,0.85206,0.84253,0.83928,0.83537,0.82993,0.83404,0.83471
Guatemala,4/26/2020,0.61599,0.59819,0.57094,0.53674,0.50434,0.48236,0.45741,0.4486,0.42029,0.39858,0.39282,0.34986,0.37654,0.36686,0.36117,0.35911,0.36326,0.36394,0.3644,0.36583,0.37572,0.37807,0.39154,0.40746,0.4282,0.44405,0.46521,0.48655,0.50754,0.51952
Haiti,5/20/2020,0.55672,0.51675,0.50676,0.4943,0.46978,0.46794,0.46264,0.46928,0.48343,0.50048,0.5211,0.51666,0.57383,0.59876,0.62165,0.64402,0.66289,0.6794,0.69954,0.71421,0.7271,0.74149,0.75037,0.76202,0.76845,0.77009,0.78491,0.78504,0.79158,0.80475
Honduras,4/22/2020,0.62641,0.5903,0.57372,0.54904,0.51842,0.49888,0.49589,0.48169,0.48971,0.49702,0.51516,0.51067,0.56282,0.58862,0.61735,0.62861,0.64328,0.66498,0.65496,0.66048,0.65809,0.65552,0.64786,0.64834,0.63563,0.63955,0.63966,0.64091,0.64824,0.65957
Hong Kong,3/27/2020,0.59154,0.58732,0.58818,0.59241,0.60286,0.61835,0.64107,0.66753,0.69946,0.73557,0.77465,0.71648,0.92101,1,1,1,1,1,1,1,1,1,1,1,0.96522,0.98623,0.97258,0.9471,0.96472,0.95994
Hungary,4/1/2020,0.59558,0.57504,0.55457,0.54531,0.53821,0.53902,0.54211,0.55551,0.56843,0.58235,0.60772,0.58642,0.64562,0.65631,0.66549,0.67469,0.67864,0.68883,0.69756,0.70752,0.72257,0.72775,0.73805,0.74772,0.75923,0.76974,0.78174,0.79344,0.80148,0.81129
India,3/24/2020,0.64794,0.62835,0.60857,0.59444,0.58564,0.58244,0.57804,0.58336,0.59306,0.60296,0.61751,0.61311,0.64232,0.65928,0.67024,0.68225,0.69094,0.70102,0.70778,0.71593,0.72201,0.72599,0.73261,0.7375,0.74198,0.74453,0.74742,0.7479,0.75033,0.74962
Indonesia,3/22/2020,0.58039,0.56362,0.54923,0.54036,0.52681,0.52526,0.51829,0.51361,0.51485,0.5169,0.5193,0.4916,0.52819,0.53464,0.54071,0.55176,0.56015,0.57258,0.58509,0.5974,0.6111,0.62669,0.64101,0.65245,0.66487,0.67567,0.6842,0.69404,0.70071,0.70781
Iraq,3/28/2020,0.60446,0.58972,0.57875,0.57177,0.57048,0.57421,0.58118,0.59743,0.61807,0.64091,0.66663,0.63538,0.72595,0.74322,0.74135,0.73364,0.72961,0.70897,0.6903,0.66865,0.64403,0.62183,0.59563,0.57233,0.55207,0.5386,0.526,0.51908,0.51562,0.51615
Ireland,3/19/2020,0.61075,0.59839,0.59232,0.58565,0.58414,0.58649,0.59164,0.59767,0.59064,0.60195,0.60832,0.58599,0.61539,0.61279,0.61442,0.61525,0.61613,0.62182,0.62979,0.64083,0.65329,0.66614,0.68419,0.70279,0.7186,0.73731,0.75375,0.76662,0.77844,0.78825
Israel,3/20/2020,0.62902,0.62652,0.62281,0.62581,0.6322,0.64221,0.65552,0.67182,0.6907,0.70955,0.73044,0.72441,0.77511,0.79149,0.80511,0.81657,0.83105,0.83441,0.83998,0.84553,0.84975,0.85374,0.85899,0.86324,0.86756,0.87127,0.87575,0.88143,0.88575,0.89104
